country,pfizer,ptitle,astrazeneca,atitle,sputnik,rtitle,sinovac,ctitle,company
Sierra Leone,52.03263158,Patient critical after reinfection with S.African variant: study,47.0142308,Fighting rape culture in Sierra Leone | Crime News,52.12634615,US stocks suffer worst day in 3 months,47.545625,,Sputnik
Somalia,45.561,Several dead as suicide bomber targets Mogadishu restaurant,39.84475,Several dead in Somalia suicide bombing,35.17782609,At least 6 people killed in suicide terror attack near Mogadishu Airport,56.1025,,Sinovac
South Africa,52.89403846,"More than 1,100 doses of Pfizer's COVID-19 vaccine are accidentally DESTROYED in Florida",48.8446212,U.S. Mulls Requiring Negative Coronavirus Test for Domestic Air Travel,53.30033333,"Trump impeachment trial a bizarre affair, occurring at scene of crime",54.0661404,"COVID-19 Vaccine Program Hiccups, Misses and Disasters",Pfizer
South Sudan,49.66,South Sudan faces 'catastrophic' famine unless conflict ended,49.3701563,"South Sudan: Ebola lurks, COVID-19 rages",47.61708333,"South Sudan: Ebola lurks, COVID-19 rages",48.043125,The Latest: Africa CDC says fatality rate higher than global,Sputnik
Sudan,52.09604167,Iranian official arrested in Istanbul over dissident's killing,39.5242308,Sudan declares 3-day mourning over ex-premier's death,40.8095,Cargo plane crash killed 17 in South Sudan,40.0461538,"Sudan: Armed groups attack protest camp in Darfur, kill 13",Pfizer
Swaziland,53.4,"Malaysia in talks to secure more vaccines from Russia, Pfizer",44.0275,"Coronavirus: Week of Jan. 10 to Jan. 16, Global death toll tops 2m",46.49105263,"Russia, Swaziland to Cooperate in Fighting Terrorism, Joint Military Training",35.2,Coronavirus: Germany under pressure to approve vaccine | News,Sputnik
Tanzania,48.91916667,Japan: Syringe scarcity threatens vaccination plans,47.8875,Tanzania's President Criticized for Dismissing COVID-19 Vaccines,46.86433333,The country that rejected coronavirus vaccines,38.5543333,"Tanzania votes in election marred by violence, fears of fraud",Sputnik
Togo,50,Yukon aims to vaccinate 75 per cent of adult population by end of March,72.02,Sen. Ernst rips $15 minimum wage hike: ‚ÄòDecision better left to states and localities‚Äô,54.231,Togo looks for innovative ways to fight coastal erosion,0,,Sputnik
Tunisia,47.64902439,Tunisia seeks cabinet shake up as protests rage,43.9486111,Turkey rejects criticism of its handling of student protest,44.54185714,"Tunisians protest against poverty, police brutality",49.9736842,Tunisia chemical plants causing devastating pollution,Sputnik
Uganda,49.9125,Uganda ends house arrest of defeated opposition leader Bobi Wine,51.6910345,An Outrage': AstraZeneca Told to Justify Unequal Vaccine Pricing Amid Soaring Profits,46.2737037,An Outrage': AstraZeneca Told to Justify Unequal Vaccine Pricing Amid Soaring Profits,45.8640476,7 dead in Uganda protests after arrest of presidential candidate,Pfizer
Zambia,57.87833333,"Comprehensive Report on Pharmaceutical Market 2021 | Size, Growth, Demand, Opportunities & Forecast To 2027 | PharmaProduct Manufacturing, Zambia Pharmaceutical Enterprises, Pfizer(DKSH is the Distributor in Zambia), Sanofi-Aventis Zambia",41.5275,"South Africa COVID Strain May Weaken Impact of Vaccines, Says Top Scientist Shabir Madhi",50.63735294,Zambian currency weakens to a record low as bondholders reject debt delay,52.2825,Forget vaccines. This metal kills Covid and China� cornered the market,Pfizer
Zimbabwe,50.02846939,WATCH | 'Cold-hearted' Table Mountain killer sentenced to two life terms,50.20875,"WHO warns against COVID-19 complacency, variants provoke new measures",48.31648148,Road Traffic Accident in Zimbabwe Leaves 17 People Dead,51.7853846,,Pfizer
British Indian Ocean Territory,50.49732143,ANALYSIS-World watches as first-mover Britain probes adverse reactions to Pfizer vaccine,51.5233333,"India needs more transparency in its COVID-19 vaccine trials, critics say",50.50013514,"Death toll from COVID-19 in Germany surpasses 50,000",45.8897222,,Sputnik
